,,Lot Area,Lot Shape,Land Slope,Overall Qual,Overall Cond,Mas Vnr Area,Exter Cond,Bsmt Cond,BsmtFin Type 1,BsmtFin Type 2,Heating QC,Electrical,Low Qual Fin SF,Gr Liv Area,Bsmt Half Bath,Half Bath,Kitchen AbvGr,Functional,Fireplace Qu,Garage Qual,Paved Drive,Pool QC,Misc Val,Mo Sold,bsmt_fin_sf,yr_since_remod,porch_area,wood_deck,open_porch,enclosed_porch,3ssn_porch,screen_porch,large_house,SalePrice,Bsmt Exposure,Garage Finish,Foundation,House Style,Mas Vnr Type,Bldg Type,MS Zoning,Alley,Land Contour,Sale Type,Roof Style,Exterior 1st
train,15,10114,0,0,5,5,0.0,1,1,0,0,3,0,0,1430,0.0,0,1,3,0,1,0,0,0,3,0.0,5,0,False,False,False,False,False,False,173500.0,1,-1,PConc,1Story,None,1Fam,RL,none,Lvl,WD ,Gable,VinylSd
train,16,4571,0,0,5,5,0.0,1,1,0,0,-1,0,0,1344,0.0,0,1,3,0,-1,0,0,0,5,0.0,58,96,False,False,True,False,False,False,98000.0,-2,-2,BrkTil,2Story,None,1Fam,RM,Grvl,Lvl,COD,Gable,AsbShng
train,17,8816,0,0,5,6,0.0,1,1,-1,0,1,0,0,1121,0.0,0,1,3,0,1,0,0,0,6,651.0,46,80,False,True,False,False,False,False,139000.0,-2,-2,PConc,1Story,None,1Fam,RL,none,Lvl,WD ,Gable,VinylSd
train,18,8197,0,0,6,5,148.0,1,1,0,0,3,0,0,1285,0.0,1,1,3,1,1,0,0,0,4,0.0,30,138,True,False,False,False,False,False,143500.0,-2,-1,CBlock,1Story,BrkFace,1Fam,RL,none,Lvl,WD ,Gable,Plywood
train,19,8640,0,0,7,5,0.0,1,1,3,0,3,0,0,1547,0.0,1,1,3,0,1,0,0,0,6,24.0,1,214,True,True,False,False,False,False,215200.0,-1,-2,PConc,2Story,None,1Fam,FV,none,Lvl,Con,Gable,VinylSd
train,20,8724,0,0,5,5,0.0,1,1,1,0,2,0,0,894,0.0,0,1,3,-2,1,0,0,0,5,492.0,39,0,False,False,False,False,False,False,129000.0,-2,1,CBlock,1Story,None,1Fam,RL,none,Lvl,WD ,Gable,VinylSd
train,21,5664,-1,0,8,5,0.0,1,1,3,0,3,0,0,1659,0.0,0,1,3,3,1,0,0,0,10,1158.0,9,271,True,True,False,False,False,False,278000.0,-2,1,PConc,1Story,None,TwnhsE,RL,none,Lvl,WD ,Gable,CemntBd
train,22,12867,-1,0,8,5,0.0,1,1,0,0,3,0,0,2253,0.0,1,1,3,2,1,0,0,0,7,0.0,0,385,True,True,False,False,False,False,344133.0,1,1,PConc,2Story,none,1Fam,RL,none,Lvl,New,Gable,CemntBd
train,23,7980,-1,0,6,7,0.0,2,1,2,0,3,0,0,1187,0.0,0,1,3,0,1,0,0,500,3,935.0,3,504,True,True,False,False,False,False,185000.0,-2,1,PConc,1Story,None,1Fam,RL,none,Lvl,WD ,Gable,HdBoard
train,24,34650,0,0,5,5,0.0,1,1,-1,0,1,0,0,1056,0.0,0,1,3,0,1,0,0,0,1,1056.0,51,264,True,False,False,False,False,False,145000.0,-1,1,CBlock,1Story,None,2fmCon,RL,none,Bnk,WD ,Hip,Wd Sdng
train,25,10573,-1,0,6,6,3.0,1,1,-1,0,3,0,0,1453,0.0,0,1,3,1,1,0,0,0,4,1312.0,48,337,False,True,False,False,True,False,187500.0,-2,-1,CBlock,1Story,BrkFace,1Fam,RL,none,Lvl,WD ,Hip,MetalSd
train,26,8450,0,0,5,8,0.0,2,1,3,1,3,0,0,894,0.0,0,1,3,2,1,0,0,0,4,670.0,1,560,True,True,False,False,False,False,138500.0,-2,-2,CBlock,1Story,None,1Fam,RL,none,Lvl,WD ,Gable,MetalSd
train,27,11700,-1,-1,5,6,0.0,1,1,1,0,3,0,0,1938,0.0,0,1,1,2,1,0,0,0,7,606.0,13,40,False,True,False,False,False,False,198000.0,-2,-2,CBlock,1.5Fin,None,1Fam,RL,Grvl,HLS,WD ,Gable,WdShing
train,28,8250,0,0,5,6,0.0,2,1,0,0,-1,0,0,1991,0.0,0,2,3,0,0,-1,0,0,6,0.0,1,133,False,False,True,False,False,False,119600.0,-2,0,CBlock,2Story,None,2fmCon,C (all),none,Lvl,WD ,Gable,VinylSd
train,29,8064,0,0,5,7,0.0,2,1,0,0,3,0,0,924,0.0,0,1,3,-2,1,0,0,2000,7,0.0,1,0,False,False,False,False,False,False,122900.0,-1,-2,CBlock,1.5Fin,None,1Fam,RL,none,Lvl,WD ,Gable,MetalSd
train,30,9600,0,0,8,5,0.0,1,1,2,0,1,0,0,2524,0.0,1,1,3,2,1,0,0,0,7,1104.0,28,594,True,True,False,False,False,False,278000.0,-2,1,PConc,1Story,None,1Fam,RL,none,Lvl,WD ,Hip,BrkFace
train,31,11435,-1,-1,8,7,0.0,1,1,0,0,-1,0,0,1517,0.0,0,1,3,2,1,0,0,0,6,0.0,56,0,False,False,False,False,False,False,230000.0,-2,-2,PConc,2Story,None,1Fam,RL,none,HLS,WD ,Gable,BrkFace
train,32,9549,-1,0,8,5,0.0,2,2,-2,3,3,0,0,1494,0.0,1,1,3,2,1,0,0,0,4,1494.0,10,246,False,True,False,False,True,False,270000.0,1,1,PConc,1Story,None,TwnhsE,RL,none,Lvl,WD ,Hip,BrkFace
train,33,10950,0,0,6,6,0.0,1,1,2,0,1,0,0,948,0.0,0,1,3,0,1,-1,0,0,4,441.0,55,48,False,True,False,False,False,False,125000.0,-2,-2,CBlock,1Story,None,1Fam,RL,none,Lvl,WD ,Hip,Wd Sdng
train,34,10637,0,0,8,5,336.0,1,1,3,0,3,0,0,1718,0.0,0,1,3,2,1,0,0,0,9,1288.0,1,252,True,True,False,False,False,False,297000.0,2,-1,PConc,1Story,Stone,1Fam,RL,none,Lvl,WD ,Hip,VinylSd
train,35,9000,-1,-1,6,6,82.0,1,1,0,0,-1,0,0,1142,0.0,0,1,3,2,1,0,0,0,4,0.0,51,92,False,True,True,False,False,False,113500.0,2,-1,CBlock,1Story,BrkFace,1Fam,RL,none,HLS,WD ,Flat,Wd Sdng
train,36,2665,0,0,5,6,0.0,1,1,2,-1,3,0,0,1475,0.0,0,1,3,1,1,0,0,0,7,721.0,29,130,True,True,False,False,False,False,127000.0,-2,-1,PConc,2Story,None,TwnhsE,RM,none,Lvl,WD ,Gable,CemntBd
train,37,11751,-1,0,6,6,480.0,1,1,1,0,3,0,0,1844,0.0,0,1,3,1,1,0,0,0,1,705.0,33,122,False,True,False,False,False,False,190000.0,-2,-1,CBlock,1Story,BrkFace,1Fam,RL,none,Lvl,COD,Hip,Plywood
train,38,9600,0,0,7,6,320.0,1,1,2,0,-1,0,0,1242,0.0,1,1,3,1,1,0,0,0,9,916.0,34,0,False,False,False,False,False,False,175500.0,-2,-2,CBlock,1Story,BrkFace,1Fam,RL,none,Lvl,WD ,Hip,HdBoard
train,39,8428,-1,0,5,7,0.0,2,2,3,0,3,0,0,990,0.0,0,1,3,0,1,0,0,0,7,420.0,13,256,True,False,False,False,False,False,146000.0,-2,-2,PConc,1Story,None,1Fam,RL,none,Lvl,WD ,Gable,VinylSd
train,40,9937,0,0,5,6,0.0,1,1,1,-2,2,0,0,1256,0.0,1,1,3,0,1,0,0,0,6,1120.0,43,804,True,True,False,False,False,False,147500.0,-2,1,CBlock,1Story,None,1Fam,RL,none,Lvl,WD ,Gable,HdBoard
train,41,13891,0,0,10,5,0.0,1,2,3,0,3,0,0,2076,0.0,1,1,3,2,1,0,0,0,9,1386.0,0,445,True,True,False,False,False,False,465000.0,2,1,PConc,1Story,none,1Fam,RL,none,Lvl,New,Gable,VinylSd
train,42,9101,-1,0,5,6,104.0,2,1,3,0,3,0,0,1110,0.0,0,1,3,1,1,0,0,0,7,1097.0,31,333,True,True,False,False,False,False,165500.0,1,1,PConc,SFoyer,BrkFace,1Fam,RL,none,Lvl,WD ,Gable,Plywood
train,43,12150,0,0,5,5,335.0,1,1,0,0,3,-2,0,1795,0.0,0,1,3,0,-1,0,0,0,11,0.0,54,0,False,False,False,False,False,False,131500.0,-2,-2,BrkTil,1.5Fin,BrkFace,1Fam,RM,Grvl,Lvl,WD ,Gable,MetalSd
train,44,11200,0,0,5,5,0.0,1,1,-1,0,3,0,0,1040,0.0,0,1,3,0,1,0,0,0,2,906.0,43,0,False,False,False,False,False,False,129500.0,-2,-2,CBlock,1Story,None,1Fam,RL,none,Lvl,WD ,Hip,HdBoard
train,45,9670,-1,-1,8,6,40.0,1,-1,-2,0,1,0,0,1873,0.0,1,1,3,2,-1,0,0,0,6,210.0,58,207,False,False,True,False,False,False,257076.0,-2,1,PConc,2Story,Stone,1Fam,RL,none,HLS,WD ,Gable,BrkFace
train,46,10998,0,0,5,5,0.0,1,1,-2,1,3,0,0,1604,0.0,0,1,1,0,1,0,0,0,7,828.0,49,68,False,True,False,False,False,False,117000.0,-2,-2,CBlock,1.5Fin,None,1Fam,RL,Grvl,Lvl,WD ,Gable,Wd Sdng
train,47,7200,0,-1,7,6,0.0,-1,1,0,0,1,0,0,1502,0.0,1,1,3,2,1,-2,0,0,2,0.0,8,112,False,False,True,False,False,False,149000.0,-2,-1,BrkTil,2Story,None,1Fam,RL,none,HLS,WD ,Gable,Stucco
train,48,9920,0,0,5,5,110.0,1,1,-1,-2,1,0,0,1063,0.0,0,1,3,0,1,0,0,0,2,644.0,56,164,False,False,True,False,False,False,128000.0,-2,-1,CBlock,1Story,Stone,1Fam,RL,none,Lvl,WD ,Gable,HdBoard
train,49,2448,0,0,7,5,106.0,1,1,0,0,3,0,0,1626,0.0,1,1,3,0,1,0,0,0,10,0.0,4,27,False,True,False,False,False,False,155000.0,-2,-1,PConc,2Story,Stone,Twnhs,RL,none,Lvl,WD ,Gable,VinylSd
train,50,2998,0,0,6,5,513.0,1,1,3,0,3,0,0,1524,0.0,1,1,3,0,1,0,0,0,6,353.0,6,32,False,True,False,False,False,False,166000.0,-2,-2,PConc,2Story,BrkFace,TwnhsE,FV,none,Lvl,WD ,Gable,MetalSd
train,51,7804,0,0,4,3,0.0,1,1,1,0,1,0,0,1981,0.0,0,1,1,1,1,0,0,0,12,622.0,59,475,True,True,False,False,False,False,135000.0,-2,-2,BrkTil,1.5Fin,None,1Fam,RL,none,Lvl,WD ,Gable,WdShing
train,52,16692,-1,0,7,5,184.0,1,1,1,-2,1,0,0,2784,0.0,1,1,3,1,1,0,-1,2000,7,1259.0,28,552,False,True,False,False,True,False,250000.0,-2,-1,CBlock,2Story,BrkFace,1Fam,RL,none,Lvl,WD ,Gable,Plywood
train,53,1476,0,0,4,7,0.0,1,1,3,0,3,0,0,1092,0.0,1,1,3,0,0,0,0,0,3,176.0,40,226,True,True,False,False,False,False,76000.0,-2,0,CBlock,2Story,None,Twnhs,RM,none,Lvl,WD ,Gable,CemntBd
train,54,10170,0,0,6,6,522.0,1,1,0,0,1,0,0,1575,0.0,1,1,3,2,1,0,0,0,6,0.0,55,0,False,False,False,False,False,False,155000.0,-2,-2,CBlock,1Story,BrkFace,1Fam,RL,none,Lvl,WD ,Hip,Wd Sdng
train,55,9364,0,0,6,7,143.0,1,1,2,0,1,0,0,1352,0.0,1,1,3,0,1,0,0,0,3,371.0,41,415,True,True,False,False,False,False,158000.0,-2,1,CBlock,2Story,Stone,1Fam,RL,none,Lvl,WD ,Gable,HdBoard
train,56,2544,0,0,7,5,0.0,1,1,3,2,3,0,0,1200,0.0,1,1,3,0,1,0,0,0,2,410.0,5,172,False,True,False,False,False,False,149500.0,-2,-1,PConc,2Story,None,Twnhs,FV,Pave,Lvl,WD ,Gable,MetalSd
train,57,9888,0,0,5,6,0.0,2,1,1,0,1,-1,0,936,0.0,0,1,3,0,1,0,0,0,3,486.0,31,160,False,False,True,False,False,False,121000.0,-2,-2,CBlock,1Story,None,1Fam,RL,none,Lvl,WD ,Gable,MetalSd
train,58,7942,0,0,6,7,0.0,1,1,-1,2,1,-2,0,1040,1.0,0,1,3,0,1,0,0,0,6,1040.0,54,0,False,False,False,False,False,False,136000.0,-2,1,CBlock,1Story,None,1Fam,RL,none,Lvl,WD ,Hip,Wd Sdng
train,59,15038,-1,0,6,5,0.0,1,1,-1,0,2,0,0,1636,0.0,1,1,3,1,1,0,0,0,11,138.0,12,252,True,True,False,False,False,False,173000.0,-2,1,PConc,2Story,None,1Fam,RL,none,Lvl,WD ,Gable,HdBoard
train,60,11764,-1,0,8,7,348.0,1,1,3,0,3,0,0,2270,0.0,1,1,3,2,1,0,0,0,4,524.0,3,189,True,True,False,False,False,False,290000.0,-2,1,PConc,2Story,BrkFace,1Fam,RL,none,Lvl,WD ,Gable,VinylSd
train,61,9000,0,0,8,5,0.0,1,1,3,0,3,0,0,2610,0.0,1,1,3,2,1,0,0,0,8,64.0,0,572,True,True,False,False,False,False,303477.0,1,1,PConc,2Story,None,1Fam,FV,none,Lvl,New,Gable,CemntBd
train,62,20062,-1,-1,7,7,0.0,2,1,2,0,2,0,0,1483,0.0,1,1,3,1,1,0,0,0,4,1092.0,9,496,True,False,False,False,False,False,270000.0,2,-1,CBlock,1Story,None,1Fam,RL,none,Low,WD ,Hip,Wd Sdng
train,63,7308,0,0,5,5,0.0,-1,1,-1,0,2,-1,0,1740,0.0,0,1,3,2,-1,-1,0,0,6,360.0,58,236,False,False,True,False,False,False,122250.0,-2,-2,BrkTil,1.5Fin,None,1Fam,RM,none,Lvl,WD ,Gable,WdShing
train,64,8750,0,0,5,5,0.0,1,1,-1,-2,2,-1,0,1382,1.0,0,1,3,0,1,0,0,0,7,655.0,54,280,True,False,False,False,False,False,153000.0,-2,-2,CBlock,1Story,None,1Fam,RL,none,Lvl,WD ,Gable,AsbShng
train,65,8402,0,0,5,5,0.0,1,1,2,0,3,0,0,1120,0.0,0,1,3,0,0,0,0,0,12,206.0,0,30,False,True,False,False,False,False,147000.0,-2,0,PConc,1Story,None,1Fam,RL,none,Lvl,New,Gable,VinylSd
train,66,4000,0,0,7,8,0.0,1,1,3,0,1,0,0,1098,0.0,0,1,3,2,1,0,0,0,6,246.0,12,0,False,False,False,False,False,False,148500.0,-2,-2,BrkTil,2Story,None,1Fam,RL,none,Lvl,WD ,Gable,Wd Sdng
train,67,3363,0,0,7,5,117.0,1,1,0,0,3,0,0,1708,0.0,0,1,-1,0,1,0,0,0,4,0.0,2,40,False,True,False,False,False,False,130000.0,-2,-2,PConc,2Story,Stone,TwnhsE,RM,none,Lvl,WD ,Gable,VinylSd
train,68,13615,-1,-1,9,5,510.0,1,1,0,0,3,0,0,1802,0.0,1,1,3,2,1,0,0,0,6,0.0,1,263,True,True,False,False,False,False,372000.0,2,1,PConc,1Story,Stone,1Fam,RL,none,HLS,WD ,Hip,MetalSd
train,69,3013,0,0,7,5,145.0,1,1,3,0,3,0,0,1506,0.0,0,1,3,2,1,0,0,0,4,16.0,1,162,True,True,False,False,False,False,213490.0,2,1,PConc,1Story,BrkFace,TwnhsE,RL,none,Lvl,WD ,Gable,VinylSd
train,70,17485,-1,0,7,5,96.0,1,1,3,0,3,0,0,1508,0.0,0,1,3,1,1,0,0,0,1,1346.0,0,0,False,False,False,False,False,False,308030.0,2,-1,PConc,1Story,Stone,1Fam,RL,none,Lvl,Con,Gable,VinylSd
train,71,23730,-1,0,7,5,668.0,1,1,3,0,3,0,0,2032,0.0,0,1,3,0,1,0,0,0,9,700.0,11,238,False,True,True,False,False,False,300000.0,-1,1,PConc,1Story,BrkFace,1Fam,RL,none,Lvl,WD ,Gable,MetalSd
train,72,8910,0,0,6,6,0.0,1,1,2,0,3,0,0,1194,1.0,0,1,3,-1,1,0,0,0,7,655.0,47,192,False,False,True,False,False,False,159500.0,-1,1,CBlock,1Story,None,1Fam,RL,none,Lvl,WD ,Hip,BrkFace
train,73,2522,0,0,7,5,50.0,1,1,0,0,3,0,0,1709,0.0,0,1,-1,0,1,0,0,0,4,0.0,2,40,False,True,False,False,False,False,137500.0,-2,-2,PConc,2Story,Stone,Twnhs,RM,none,Lvl,WD ,Gable,VinylSd
train,74,8688,0,0,7,5,228.0,1,1,0,0,3,0,0,1616,0.0,0,1,3,0,1,0,0,0,4,0.0,1,267,True,True,False,False,False,False,232000.0,1,-1,PConc,1Story,BrkFace,1Fam,RL,none,Lvl,WD ,Gable,VinylSd
train,75,6291,-1,0,6,6,0.0,2,1,0,0,1,0,0,768,0.0,0,1,3,0,1,-1,0,0,7,0.0,58,84,False,False,True,False,False,False,93850.0,-2,-2,BrkTil,1Story,None,1Fam,RM,none,Lvl,WD ,Gable,Stucco
train,76,17529,0,0,5,5,65.0,1,1,0,0,-1,-2,0,872,0.0,0,1,0,2,-1,-1,0,0,4,0.0,56,116,False,False,True,False,False,False,105000.0,-2,-2,BrkTil,1Story,Stone,1Fam,RL,none,Lvl,WD ,Gable,BrkFace
train,77,6324,-1,0,4,6,0.0,1,1,0,0,-1,0,0,520,0.0,0,1,3,0,-1,0,0,0,5,0.0,58,136,True,False,True,False,False,False,68500.0,-2,-2,BrkTil,1Story,None,1Fam,RM,none,Lvl,WD ,Gable,MetalSd
train,78,11600,0,0,5,5,361.0,1,1,-1,0,1,-1,0,2274,0.0,0,2,3,0,1,0,0,0,1,443.0,50,0,False,False,False,False,False,False,154300.0,-2,-2,CBlock,2Story,BrkFace,Duplex,RL,none,Lvl,WD ,Gable,MetalSd
train,79,7288,0,0,5,7,0.0,2,-2,0,0,3,0,0,1601,0.0,0,1,3,0,0,-1,0,0,9,0.0,4,176,False,False,False,True,False,False,129850.0,-2,0,BrkTil,1.5Fin,None,1Fam,RM,none,Lvl,WD ,Gable,VinylSd
train,80,4571,0,0,5,7,0.0,1,1,1,0,3,0,0,1232,0.0,0,1,3,0,-1,0,0,0,6,168.0,57,423,True,False,True,False,False,False,114000.0,-2,-2,BrkTil,2Story,None,1Fam,RM,Grvl,Lvl,WD ,Gable,MetalSd
train,81,17423,-1,0,9,5,748.0,1,1,3,0,3,0,0,2234,0.0,0,1,3,2,1,0,0,0,7,1904.0,0,60,False,True,False,False,False,False,501837.0,-2,1,PConc,1Story,Stone,1Fam,RL,none,Lvl,New,Hip,VinylSd
train,82,12665,-1,0,5,8,0.0,1,1,0,0,2,0,0,1416,0.0,1,1,3,2,1,0,0,0,6,0.0,58,612,True,False,True,False,False,False,153900.0,-1,-2,BrkTil,1.5Fin,None,1Fam,RM,Grvl,Lvl,WD ,Gable,Wd Sdng
train,83,9000,0,0,4,7,0.0,2,1,2,0,2,0,0,864,0.0,0,1,3,0,1,0,0,0,7,240.0,3,200,True,False,False,False,False,False,130000.0,-2,-2,CBlock,1Story,None,1Fam,RL,none,Lvl,WD ,Gable,VinylSd
train,84,4500,0,0,6,5,197.0,1,1,3,0,3,0,0,1189,0.0,0,1,3,0,1,0,0,0,4,864.0,11,122,False,True,False,False,False,False,160500.0,-2,-1,PConc,1Story,BrkFace,TwnhsE,RM,none,Lvl,WD ,Hip,VinylSd
train,85,6373,0,0,9,5,572.0,1,2,3,0,3,0,0,1666,0.0,0,1,3,2,1,0,0,0,6,415.0,0,303,True,True,False,False,False,False,310090.0,-2,-1,PConc,1Story,BrkFace,TwnhsE,RL,none,Lvl,New,Hip,MetalSd
train,86,10083,0,0,7,5,0.0,1,1,3,0,3,0,0,1200,0.0,0,1,3,0,1,0,0,0,8,833.0,6,41,False,True,False,False,False,False,184900.0,-2,-1,PConc,1Story,none,1Fam,RL,none,Lvl,WD ,Gable,VinylSd
train,87,13300,0,0,5,7,0.0,1,1,-1,0,1,0,0,928,0.0,0,1,3,0,1,0,0,0,6,377.0,7,417,True,False,True,False,False,False,132000.0,-2,-2,CBlock,1Story,None,1Fam,RL,none,Lvl,WD ,Hip,Wd Sdng
train,88,9600,0,0,5,5,128.0,1,1,2,-1,1,0,0,1336,1.0,0,1,3,-1,1,0,0,650,8,700.0,40,323,True,True,False,False,False,False,163000.0,-1,-1,CBlock,1Story,BrkFace,1Fam,RL,none,Lvl,WD ,Gable,HdBoard
train,89,3215,0,0,7,5,120.0,1,1,3,0,3,0,0,1200,0.0,1,1,3,0,1,0,0,0,4,280.0,6,172,False,True,False,False,False,False,155000.0,1,-1,PConc,2Story,BrkFace,TwnhsE,FV,Pave,Lvl,ConLD,Gable,MetalSd
train,90,11104,-1,0,6,6,0.0,1,1,3,0,2,0,0,1427,1.0,0,1,3,0,1,0,0,0,5,828.0,39,216,False,False,False,False,True,False,183000.0,1,-1,CBlock,SLvl,None,1Fam,RL,none,Lvl,WD ,Gable,MetalSd
train,91,15295,-1,0,7,5,254.0,1,1,3,0,3,0,0,1992,0.0,1,1,1,1,1,0,0,0,6,762.0,5,257,True,True,False,False,False,False,211000.0,-1,-1,PConc,2Story,BrkFace,1Fam,RL,none,Lvl,WD ,Gable,VinylSd
train,92,9109,0,0,7,5,0.0,1,1,-2,3,3,0,0,1540,0.0,1,1,3,0,1,0,0,0,10,632.0,15,172,True,True,False,False,False,False,184000.0,-2,-1,PConc,2Story,None,1Fam,RL,none,Lvl,WD ,Gable,VinylSd
train,93,7018,0,0,5,5,0.0,1,0,0,0,1,0,0,1535,0.0,0,2,3,0,1,0,0,0,6,0.0,30,0,False,False,False,False,False,False,118858.0,none,-2,Slab,1Story,None,Duplex,RL,none,Bnk,WD ,Gable,HdBoard
train,94,14112,-1,0,5,7,86.0,1,1,3,0,1,0,0,1152,0.0,0,1,3,2,1,0,0,0,4,1014.0,46,227,True,False,False,False,False,False,180500.0,1,-1,PConc,SLvl,BrkFace,1Fam,RL,none,Lvl,WD ,Hip,Wd Sdng
train,95,3523,-1,0,8,5,30.0,1,1,3,0,3,0,0,1151,0.0,0,1,3,0,1,0,0,0,2,60.0,0,60,False,True,False,False,False,False,166000.0,-2,1,PConc,1Story,Stone,TwnhsE,FV,Pave,Lvl,New,Gable,VinylSd
train,96,15312,0,0,6,5,54.0,1,1,1,0,3,0,0,1138,1.0,0,1,3,1,1,0,0,0,3,588.0,49,140,False,False,False,False,True,False,148000.0,1,-1,CBlock,SLvl,BrkFace,1Fam,RL,none,Lvl,COD,Hip,Wd Sdng
train,97,7450,-1,0,5,5,0.0,1,1,-1,-2,2,0,0,1074,0.0,0,1,2,2,1,0,0,0,1,644.0,51,72,False,True,False,False,False,False,124000.0,-2,-2,CBlock,1Story,None,1Fam,RL,none,Lvl,WD ,Hip,Wd Sdng
train,98,7313,0,0,9,5,246.0,1,1,3,0,3,0,0,1561,0.0,0,1,3,2,1,0,0,0,8,1153.0,2,250,True,True,False,False,False,False,277500.0,-2,1,PConc,1Story,BrkFace,TwnhsE,RL,none,Lvl,WD ,Hip,MetalSd
train,99,10019,-1,0,8,5,397.0,1,1,2,0,3,0,0,2726,0.0,1,1,3,3,1,0,0,0,6,527.0,11,644,True,True,True,False,False,False,350000.0,-2,-1,PConc,2Story,BrkFace,1Fam,RL,none,Lvl,WD ,Hip,VinylSd
train,100,15401,-1,0,9,5,296.0,1,1,3,0,3,0,0,1884,0.0,0,1,3,2,1,0,0,0,9,1337.0,4,290,True,True,False,False,False,False,387000.0,2,1,PConc,1Story,BrkFace,1Fam,RL,none,HLS,WD ,Hip,VinylSd
