,,MS SubClass,MS Zoning,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Bsmt Unf SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,lot_frontage_ratio,lot_frontage_est,bsmt_fin_sf
train,10,160,RM,1680,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,96.0,GasA,TA,Y,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,TA,4,Typ,0,none,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,0,0,0,0,0,0,none,none,none,0,7,2008,COD,85400.0,0.0125,21.0,387.0
train,11,20,RL,7488,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,815.0,GasA,Ex,Y,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,Gd,6,Typ,0,none,Attchd,2005.0,RFn,2.0,632.0,TA,TA,Y,105,58,0,0,0,0,none,none,none,0,2,2006,WD ,183600.0,0.008547008547008548,64.0,393.0
train,12,70,RL,26400,Pave,none,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,none,none,none,none,none,0.0,GasA,Ex,Y,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,TA,7,Mod,1,TA,Attchd,1900.0,Unf,2.0,576.0,TA,TA,P,0,0,0,0,0,0,none,none,none,0,6,2009,WD ,131000.0,0.004545454545454545,120.0,0.0
train,13,160,FV,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,147.0,GasA,Ex,Y,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,Gd,7,Typ,0,none,Detchd,2000.0,Unf,2.0,480.0,TA,TA,Y,169,0,0,0,0,0,none,none,none,0,12,2008,ConLD,200000.0,0.009073724007561436,23.999999999999996,813.0
train,14,20,RL,9627,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1327.0,GasA,Ex,Y,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,Gd,6,Typ,0,none,Attchd,2007.0,RFn,2.0,610.0,TA,TA,Y,0,50,0,0,0,0,none,none,none,0,6,2008,WD ,193000.0,0.007686714448945674,74.0,24.0
train,15,20,RL,10114,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,Unf,1430.0,GasA,Ex,Y,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,Gd,7,Typ,0,none,Attchd,2004.0,RFn,2.0,624.0,TA,TA,Y,0,0,0,0,0,0,none,none,none,0,3,2010,WD ,173500.0,0.009195175004943643,93.0,0.0
train,16,70,RM,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,624.0,GasA,Fa,N,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,TA,7,Typ,0,none,Detchd,1916.0,Unf,3.0,513.0,Fa,Fa,Y,0,0,96,0,0,0,none,none,none,0,5,2008,COD,98000.0,0.007438197330999781,34.0,0.0
train,17,20,RL,8816,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,Unf,470.0,GasA,TA,Y,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,TA,5,Typ,0,none,Detchd,1963.0,Unf,2.0,480.0,TA,TA,Y,0,80,0,0,0,0,none,MnPrv,none,0,6,2009,WD ,139000.0,0.009074410163339383,80.0,651.0
train,18,20,RL,8197,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,660.0,GasA,Ex,Y,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,TA,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,528.0,TA,TA,Y,138,0,0,0,0,0,none,MnPrv,none,0,4,2007,WD ,143500.0,0.008661705502012932,71.0,0.0
train,19,60,FV,8640,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,Unf,732.0,GasA,Ex,Y,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,Gd,7,Typ,0,none,Attchd,2009.0,Unf,2.0,614.0,TA,TA,Y,169,45,0,0,0,0,none,none,none,0,6,2010,Con,215200.0,0.008333333333333333,72.0,24.0
train,20,20,RL,8724,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,402.0,GasA,Gd,Y,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,TA,5,Typ,1,Po,Attchd,1968.0,Fin,2.0,450.0,TA,TA,Y,0,0,0,0,0,0,none,none,none,0,5,2007,WD ,129000.0,0.012494268684089867,109.0,492.0
train,21,120,RL,5664,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CemntBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,343.0,GasA,Ex,Y,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Ex,Attchd,2000.0,Fin,2.0,499.0,TA,TA,Y,212,59,0,0,0,0,none,none,none,0,10,2009,WD ,278000.0,0.007062146892655367,40.0,1158.0
train,22,60,RL,12867,Pave,none,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CemntBd,none,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1209.0,GasA,Ex,Y,SBrkr,1209,1044,0,2253,0.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,2005.0,Fin,2.0,575.0,TA,TA,Y,243,142,0,0,0,0,none,none,none,0,7,2006,New,344133.0,0.008004973964405067,102.99999999999999,0.0
train,23,20,RL,7980,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,Unf,233.0,GasA,Ex,Y,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,none,Attchd,1992.0,Fin,2.0,420.0,TA,TA,Y,483,21,0,0,0,0,none,GdPrv,Shed,500,3,2010,WD ,185000.0,0.00801254380316002,63.94009954921696,935.0
train,24,190,RL,34650,Pave,none,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,Unf,0.0,GasA,TA,N,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,TA,5,Typ,0,none,Attchd,1955.0,Fin,2.0,572.0,TA,TA,Y,264,0,0,0,0,0,none,none,none,0,1,2006,WD ,145000.0,0.002886002886002886,100.0,1056.0
train,25,20,RL,10573,Pave,none,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,141.0,GasA,Ex,Y,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1961.0,RFn,2.0,530.0,TA,TA,Y,0,49,0,0,288,0,none,GdPrv,none,0,4,2009,WD ,187500.0,0.008701409249976354,91.99999999999999,1312.0
train,26,20,RL,8450,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,BLQ,224.0,GasA,Ex,Y,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,1973.0,Unf,1.0,336.0,TA,TA,Y,416,144,0,0,0,0,none,MnPrv,none,0,4,2010,WD ,138500.0,0.007692307692307693,65.0,670.0
train,27,50,RL,11700,Pave,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,WdShing,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,336.0,GasA,Ex,Y,SBrkr,1265,673,0,1938,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Gd,Detchd,1937.0,Unf,1.0,240.0,TA,TA,Y,0,40,0,0,0,0,none,none,none,0,7,2008,WD ,198000.0,0.00801254380316002,93.74676249697224,606.0
train,28,190,C (all),8250,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,Unf,957.0,GasA,Fa,N,SBrkr,1034,957,0,1991,0.0,0.0,2,0,4,2,TA,9,Typ,0,none,none,0.0,none,0.0,0.0,none,none,N,0,0,133,0,0,0,none,none,none,0,6,2007,WD ,119600.0,0.00909090909090909,75.0,0.0
train,29,50,RL,8064,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,Unf,672.0,GasA,Ex,Y,SBrkr,672,252,0,924,0.0,0.0,1,0,3,1,TA,6,Typ,1,Po,Detchd,2003.0,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,0,none,MnPrv,Shed,2000,7,2007,WD ,122900.0,0.00744047619047619,60.0,0.0
train,30,20,RL,9600,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,1420.0,GasA,TA,Y,SBrkr,2524,0,0,2524,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,1981.0,Fin,2.0,542.0,TA,TA,Y,474,120,0,0,0,0,none,MnPrv,none,0,7,2009,WD ,278000.0,0.008333333333333333,80.0,1104.0
train,31,70,RL,11435,Pave,none,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,792.0,GasA,Fa,Y,SBrkr,792,725,0,1517,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Gd,Detchd,1931.0,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,none,none,none,0,6,2006,WD ,230000.0,0.008505696994584153,97.2626451330698,0.0
train,32,120,RL,9549,Pave,none,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,GLQ,0.0,GasA,Ex,Y,SBrkr,1494,0,0,1494,1.0,0.0,1,1,2,1,Ex,6,Typ,1,Gd,Attchd,1995.0,Fin,2.0,481.0,TA,TA,Y,0,30,0,0,216,0,none,none,none,0,4,2006,WD ,270000.0,0.0031416902293433867,30.0,1494.0
train,33,20,RL,10950,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,507.0,GasA,TA,Y,SBrkr,948,0,0,948,0.0,0.0,1,0,2,1,TA,5,Typ,0,none,Detchd,1952.0,Unf,2.0,410.0,TA,TA,N,0,48,0,0,0,0,none,none,none,0,4,2007,WD ,125000.0,0.005479452054794521,60.0,441.0
train,34,20,RL,10637,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,417.0,GasA,Ex,Y,SBrkr,1718,0,0,1718,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3.0,826.0,TA,TA,Y,208,44,0,0,0,0,none,none,none,0,9,2009,WD ,297000.0,0.00742690608254207,79.0,1288.0
train,35,20,RL,9000,Pave,none,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,Unf,Unf,160.0,GasA,Fa,Y,SBrkr,1142,0,0,1142,0.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,Basment,1958.0,RFn,1.0,384.0,TA,TA,Y,0,28,64,0,0,0,none,none,none,0,4,2009,WD ,113500.0,0.008888888888888889,80.0,0.0
train,36,160,RM,2665,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CemntBd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,Rec,36.0,GasA,Ex,Y,SBrkr,925,550,0,1475,0.0,0.0,2,0,4,1,TA,6,Typ,1,TA,Attchd,1977.0,RFn,1.0,336.0,TA,TA,Y,104,26,0,0,0,0,none,none,none,0,7,2006,WD ,127000.0,0.015384615384615385,41.0,721.0
train,37,20,RL,11751,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,1139.0,GasA,Ex,Y,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,546.0,TA,TA,Y,0,122,0,0,0,0,none,MnPrv,none,0,1,2010,COD,190000.0,0.008935409752361501,105.0,705.0
train,38,20,RL,9600,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,326.0,GasA,Fa,Y,SBrkr,1242,0,0,1242,0.0,0.0,1,1,3,1,TA,6,Typ,1,TA,Attchd,1973.0,Unf,2.0,528.0,TA,TA,Y,0,0,0,0,0,0,none,none,none,0,9,2007,WD ,175500.0,0.008333333333333333,80.0,916.0
train,39,20,RL,8428,Pave,none,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,GLQ,Unf,570.0,GasA,Ex,Y,SBrkr,990,0,0,990,1.0,0.0,1,0,3,1,TA,5,Typ,0,none,Detchd,1995.0,Unf,1.0,384.0,TA,TA,Y,256,0,0,0,0,0,none,none,none,0,7,2007,WD ,146000.0,0.007119126720455624,60.0,420.0
train,40,20,RL,9937,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,LwQ,136.0,GasA,Gd,Y,SBrkr,1256,0,0,1256,1.0,0.0,1,1,3,1,TA,6,Typ,0,none,Attchd,1965.0,Fin,1.0,276.0,TA,TA,Y,736,68,0,0,0,0,none,none,none,0,6,2008,WD ,147500.0,0.007547549562242125,75.0,1120.0
train,41,20,RL,13891,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,none,0.0,Ex,TA,PConc,Ex,Gd,Gd,GLQ,Unf,690.0,GasA,Ex,Y,SBrkr,2076,0,0,2076,1.0,0.0,2,1,2,1,Ex,7,Typ,1,Gd,Attchd,2006.0,Fin,3.0,850.0,TA,TA,Y,216,229,0,0,0,0,none,none,none,0,9,2006,New,465000.0,0.007702829169966165,107.0,1386.0
train,42,85,RL,9101,Pave,none,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,GLQ,Unf,0.0,GasA,Ex,Y,SBrkr,1110,0,0,1110,1.0,0.0,1,0,1,1,Gd,4,Typ,1,TA,Attchd,1978.0,Fin,2.0,602.0,TA,TA,Y,303,30,0,0,0,0,none,none,none,0,7,2009,WD ,165500.0,0.008505696994584153,77.41034834771038,1097.0
train,43,50,RM,12150,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,1050.0,GasA,Ex,N,FuseF,1050,745,0,1795,0.0,0.0,2,0,4,1,TA,7,Typ,0,none,Attchd,1954.0,Unf,1.0,352.0,Fa,TA,Y,0,0,0,0,0,0,none,none,none,0,11,2008,WD ,131500.0,0.006666666666666667,81.0,0.0
train,44,20,RL,11200,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,134.0,GasA,Ex,Y,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,TA,5,Typ,0,none,Detchd,1965.0,Unf,1.0,384.0,TA,TA,Y,0,0,0,0,0,0,none,none,none,0,2,2008,WD ,129500.0,0.00625,70.0,906.0
train,45,70,RL,9670,Pave,none,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,TA,Fa,No,LwQ,Unf,398.0,GasA,TA,Y,SBrkr,983,890,0,1873,0.0,0.0,1,1,4,1,TA,9,Typ,2,Gd,Detchd,1935.0,Fin,2.0,786.0,Fa,TA,Y,0,0,207,0,0,0,none,none,none,0,6,2008,WD ,257076.0,0.010341261633919338,100.0,210.0
